target_key,target_label,evidence_domain,domain_type,score,available_points,status,detail
orexin_antagonist,Orexin receptor antagonists,exposure_definition_sensitivity,core,,0,not_available,Neither PS-only nor clean-exposure analysis was available.
orexin_antagonist,Orexin receptor antagonists,reporting_structure_stability,core,,0,not_available,No stratified comparison was prespecified for this target.
orexin_antagonist,Orexin receptor antagonists,phenotype_coherence,modifier,,0,not_available,No direct phenotype group was prespecified for this target.
orexin_antagonist,Orexin receptor antagonists,external_evidence,modifier,0.0,0,neutral,No external evidence classification was prespecified as supporting an elevated fall-reporting signal in this framework. Source basis: Prespecified local evidence review.
other_insomnia_related,Other insomnia-related drugs,traditional_signal_strength,core,2.0,2,supportive,fall_n=1312; ROR=2.79 (2.63-2.95); IC025=1.32; OE05=2.51.
other_insomnia_related,Other insomnia-related drugs,active_comparator_consistency,core,2.0,2,supportive,directional=1/1; CI-supported=1/1; precise-reverse=0/1. other_insomnia_related_vs_orexin_antagonists: ROR=3.27 (2.49-4.28)
other_insomnia_related,Other insomnia-related drugs,adjusted_model_stability,core,1.0,2,supportive,directional=1/1; CI-supported=0/1; precise-reverse=0/1. other_insomnia_related_vs_orexin_antagonists: OR=1.01 (0.72-1.43)
other_insomnia_related,Other insomnia-related drugs,exposure_definition_sensitivity,core,,0,not_available,Neither PS-only nor clean-exposure analysis was available.
other_insomnia_related,Other insomnia-related drugs,reporting_structure_stability,core,,0,not_available,No stratified comparison was prespecified for this target.
other_insomnia_related,Other insomnia-related drugs,phenotype_coherence,modifier,,0,not_available,No direct phenotype group was prespecified for this target.
other_insomnia_related,Other insomnia-related drugs,external_evidence,modifier,0.0,0,neutral,No group-level external evidence classification was prespecified because this is a heterogeneous comparator group. Source basis: Prespecified local evidence review.
